,gameid,roundNum,occurrenceNum,intendedName,contents,correct,maxtime,mintime,time,char_count,word_count,exchanges,prev,same_round_random_player,jaccard_with_prev_occ,jaccard_with_random
0,00be8a english_10,1,1,B,the figure which looks like a person praying on their knees with their arms held outwards,0.0,1609812899720,1609812899720,0,89,16,1,,,0.0,0.0
1,00be8a english_10,2,1,D,the figure that looks like their standing with a straight posture facing the left with a book in their hands / they're* haah,1.0,1609812989883,1609812982891,6992,124,23,2,,,0.0,0.0
2,00be8a english_10,3,1,A,the one that is facing the left with a leg kicking out forward / kind of looks like a dino head and little wings / does it look liek it is lying down with a leg forward? / no,0.0,1609813117382,1609813049181,68201,174,39,4,,,0.0,0.0
3,00be8a english_10,4,1,H,the one that looks like a sort of blob figure?? There is no distinct body shape (it's square-ish) but the bottom has a point towards the right,1.0,1609813229633,1609813229633,0,142,27,1,,,0.0,0.0
4,00be8a english_10,5,1,G,the one that looks like it's about to fall on its face to the right. Arms are stretched out forward and it looks like it fells onto its knees first,0.0,1609813295178,1609813295178,0,147,30,1,,,0.0,0.0
5,00be8a english_10,6,1,K,another one that looks like it's praying facing the right. straight posture,1.0,1609813358812,1609813358812,0,75,12,1,,,0.0,0.0
6,00be8a english_10,7,1,I,looks like it's doing a deadlift on one leg lol,1.0,1609813416913,1609813416913,0,47,10,1,,,0.0,0.0
7,00be8a english_10,8,1,J,the one that has a flat left side,1.0,1609813510445,1609813510445,0,33,8,1,,,0.0,0.0
8,00be8a english_10,9,1,F,the one that looks like it's lying against a wall,1.0,1609813546878,1609813546878,0,49,10,1,,,0.0,0.0
9,00be8a english_10,10,1,L,facing the right,1.0,1609813599537,1609813599537,0,16,3,1,,,0.0,0.0
10,00be8a english_10,11,1,C,facing the left,1.0,1609813643801,1609813643801,0,15,3,1,,,0.0,0.0
11,00be8a english_10,12,1,E,looks like a rabbit slumping against the wall facing the right,1.0,1609813682750,1609813682750,0,62,11,1,,,0.0,0.0
12,00be8a english_10,13,2,A,the dino head looking one. I guess the actual head would be like looking backwards? one leg is kicking forward towards the left,1.0,1609813743490,1609813743490,0,127,23,1,the one that is facing the left with a leg kicking out forward / kind of looks like a dino head and little wings / does it look liek it is lying down with a leg forward? / no,,0.2564102564102564,0.0
13,00be8a english_10,14,2,L,reading a book facing the right,1.0,1609813788814,1609813788814,0,31,6,1,facing the right,,0.5,0.0
14,00be8a english_10,15,2,I,deadlift-looking one,1.0,1609813821772,1609813821772,0,20,2,1,looks like it's doing a deadlift on one leg lol,,0.09090909090909091,0.0
15,00be8a english_10,16,2,K,facing the right,0.0,1609813873110,1609813873110,0,16,3,1,another one that looks like it's praying facing the right. straight posture,,0.15384615384615385,0.0
16,00be8a english_10,17,2,B,on its knees facing the right,1.0,1609813936069,1609813936069,0,29,6,1,the figure which looks like a person praying on their knees with their arms held outwards,,0.16666666666666666,0.0
17,00be8a english_10,18,2,D,facing the left,1.0,1609814019008,1609814019008,0,15,3,1,the figure that looks like their standing with a straight posture facing the left with a book in their hands / they're* haah,,0.15789473684210525,0.0
18,00be8a english_10,19,2,J,left side is flat,1.0,1609814079682,1609814079682,0,17,4,1,the one that has a flat left side,,0.3333333333333333,0.0
19,00be8a english_10,20,2,C,looks like it's yelling down to something to the left,1.0,1609814140529,1609814140529,0,53,10,1,facing the left,,0.2,0.0
20,00be8a english_10,21,2,G,looks like it's falling to the right,1.0,1609814192119,1609814192119,0,36,7,1,the one that looks like it's about to fall on its face to the right. Arms are stretched out forward and it looks like it fells onto its knees first,,0.19230769230769232,0.0
21,00be8a english_10,22,2,F,slumping against a wall facing the left,1.0,1609814228118,1609814228118,0,39,7,1,the one that looks like it's lying against a wall,,0.3076923076923077,0.0
22,00be8a english_10,23,2,H,nondescript shape,1.0,1609814266482,1609814266482,0,17,2,1,the one that looks like a sort of blob figure?? There is no distinct body shape (it's square-ish) but the bottom has a point towards the right,,0.04,0.0
23,00be8a english_10,24,2,E,rabbit slumping against a wall facing the right,1.0,1609814295218,1609814295218,0,47,8,1,looks like a rabbit slumping against the wall facing the right,,0.8,0.0
24,00be8a english_10,25,3,L,person holding a book facing the right,0.0,1609814317527,1609814317527,0,38,7,1,reading a book facing the right,,0.625,0.0
25,00be8a english_10,26,3,C,person yelling down to someone facing the left,1.0,1609814352043,1609814352043,0,46,8,1,looks like it's yelling down to something to the left,,0.4166666666666667,0.0
26,00be8a english_10,27,3,K,person on their knees facing the right,1.0,1609814408799,1609814408799,0,38,7,1,facing the right,,0.42857142857142855,0.0
27,00be8a english_10,28,3,H,nondescript shape,1.0,1609814472136,1609814472136,0,17,2,1,nondescript shape,,1.0,0.0
28,00be8a english_10,29,3,E,rabbit slumping against wall,1.0,1609814516365,1609814516365,0,28,4,1,rabbit slumping against a wall facing the right,,0.5,0.0
29,00be8a english_10,30,3,B,on knees facing the right,0.0,1609814559689,1609814559689,0,25,5,1,on its knees facing the right,,0.8333333333333334,0.0
30,00be8a english_10,31,3,G,person falling towards the right,1.0,1609814610386,1609814610386,0,32,5,1,looks like it's falling to the right,,0.3333333333333333,0.0
31,00be8a english_10,32,3,D,facing the left,1.0,1609814644079,1609814644079,0,15,3,1,facing the left,,1.0,0.0
32,00be8a english_10,33,3,I,deadlift person facing the left,1.0,1609814689749,1609814689749,0,31,5,1,deadlift-looking one,,0.0,0.0
33,00be8a english_10,34,3,A,dino head,1.0,1609814729865,1609814729865,0,9,2,1,the dino head looking one. I guess the actual head would be like looking backwards? one leg is kicking forward towards the left,,0.10526315789473684,0.0
34,00be8a english_10,35,3,J,nondescript shape,1.0,1609814753106,1609814753106,0,17,2,1,left side is flat,,0.0,0.0
35,00be8a english_10,36,3,F,slumping against wall facing the left,1.0,1609814776272,1609814776272,0,37,6,1,slumping against a wall facing the left,,0.8571428571428571,0.0
36,00be8a english_10,37,4,G,falling towards the right,1.0,1609814821282,1609814821282,0,25,4,1,person falling towards the right,,0.8,0.0
37,00be8a english_10,38,4,J,nondescript shape,1.0,1609814861252,1609814861252,0,17,2,1,nondescript shape,,1.0,0.0
38,00be8a english_10,39,4,H,nondescript shape,1.0,1609814912901,1609814912901,0,17,2,1,nondescript shape,,1.0,0.0
39,00be8a english_10,40,4,A,dino head,1.0,1609814969755,1609814969755,0,9,2,1,dino head,,1.0,0.0
40,00be8a english_10,41,4,F,slumping against the wall facing the left,1.0,1609814993294,1609814993294,0,41,7,1,slumping against wall facing the left,,1.0,0.0
41,00be8a english_10,42,4,E,rabbit slumping against wall facing the right,1.0,1609815028479,1609815028479,0,45,7,1,rabbit slumping against wall,,0.5714285714285714,0.0
42,00be8a english_10,43,4,B,on knees facing the right,0.0,1609815068985,1609815068985,0,25,5,1,on knees facing the right,,1.0,0.0
