word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
в	10919472	-4.3	0	16	1325	1325	1325	1325	1325	1
и	5845281	-4.3	0	25	709	709	709	709	709	1
на	3212781	-2.26	40	53	875	464	464	464	464	2
с	2523382	-4.3	0	22	2142	2142	2142	2142	2142	1
года	1778044	-5.15	16	19	586	184	0	0	0	4
по	1573079	-3.85	44	54	2895	1019	1019	1019	1019	2
году	1360171	-5.72	12	13	586	184	0	0	0	4
из	1136131	-3.87	22	25	709	157	157	157	157	2
был	935519	-4.59	4	8	631	35	0	0	0	3
к	932752	-4.3	0	29	1255	1255	1255	1255	1255	1
а	873054	-4.3	0	26	672	672	672	672	672	1
не	841773	-2.85	42	54	875	187	187	187	187	2
от	800773	-3.4	32	39	1284	254	254	254	254	2
для	715317	-5.29	2	4	891	22	0	0	0	3
что	678768	-5.04	6	8	238	5	0	0	0	3
за	669917	-2.92	28	35	595	400	400	400	400	2
его	663563	-3.85	4	9	138	9	0	0	0	3
до	658090	-3.56	48	55	891	236	236	236	236	2
как	632726	-4.98	18	20	1255	279	0	0	0	3
он	611724	-4.5	30	46	1284	7	7	7	7	2
после	502421	-4.87	2	3	2895	1019	0	0	0	5
также	473751	-7.89	4	4	693	84	0	0	0	5
г	441147	-4.3	0	15	586	586	586	586	586	1
при	422474	-3.29	6	10	2895	1122	0	0	0	3
была	415647	-5.0	8	9	631	35	0	0	0	4
о	410431	-4.3	0	25	1284	1284	1284	1284	1284	1
были	398748	-5.23	8	9	631	35	0	0	0	4
было	395339	-5.54	6	7	631	35	0	0	0	4
время	378126	-6.85	2	2	1325	46	0	0	0	5
но	372069	-3.06	40	51	875	98	98	98	98	2
во	368186	-2.83	46	52	1325	320	320	320	320	2
у	316949	-4.3	0	16	590	590	590	590	590	1
или	308707	-4.56	10	16	709	9	0	0	0	3
под	284612	-3.54	20	22	2895	1019	0	0	0	3
это	284158	-4.81	14	18	226	27	0	0	0	3
же	278121	-3.73	30	34	169	68	68	68	68	2
м	261721	-4.3	0	23	929	929	929	929	929	1
человек	259850	-9.83	0	3	238	96	0	0	0	7
км	255668	-4.29	40	46	1255	6	6	6	6	2
год	244860	-4.83	16	20	586	184	0	0	0	3
лет	232151	-4.02	14	18	441	123	0	0	0	3
их	226738	-4.39	20	24	709	1	1	1	1	2
так	226349	-5.13	22	27	693	84	0	0	0	3
более	225406	-6.47	0	0	631	164	0	0	0	5
где	222975	-6.07	2	4	586	2	0	0	0	3
то	217181	-3.54	42	56	693	113	113	113	113	2
й	215909	-4.33	0	3	11	11	11	11	11	1
который	210715	-7.79	8	8	1255	499	0	0	0	7
её	209605	-4.43	12	15	138	1	1	1	1	2
реки	208343	-5.34	12	16	1004	263	0	0	0	4
россии	208335	-6.72	4	5	1004	130	0	0	0	6
области	199582	-6.68	2	2	1284	330	0	0	0	7
со	197470	-3.63	54	60	2142	503	503	503	503	2
является	196426	-5.62	0	0	105	21	0	0	0	8
стал	196352	-4.19	12	18	2142	356	0	0	0	4
однако	194119	-8.52	0	0	1284	54	0	0	0	6
только	177132	-7.94	0	1	693	113	0	0	0	6
она	172828	-4.83	14	21	1284	7	0	0	0	3
х	171448	-4.3	0	5	220	220	220	220	220	1
население	170922	-7.58	0	0	875	464	0	0	0	9
города	170389	-6.26	8	12	586	184	0	0	0	6
том	169367	-3.39	22	30	693	113	0	0	0	3
н	169144	-4.3	0	14	875	875	875	875	875	1
они	164286	-6.08	12	17	1284	7	0	0	0	3
войны	162636	-5.89	10	11	1325	320	0	0	0	5
того	162037	-4.1	2	5	693	113	0	0	0	4
ссср	157548	-8.59	6	7	2142	8	0	0	0	4
когда	156957	-5.26	2	3	1255	499	0	0	0	5
состав	155883	-5.82	0	4	2142	503	0	0	0	6
этого	153629	-5.36	2	3	226	27	0	0	0	5
все	153024	-4.36	8	16	1325	81	0	0	0	3
около	153008	-5.86	0	0	1284	90	0	0	0	5
сша	151791	-6.15	6	9	2142	1	0	0	0	3
которые	148655	-7.79	8	8	1255	499	0	0	0	7
между	146150	-5.96	0	0	929	194	0	0	0	5
составляет	142525	-7.32	0	0	2142	503	0	0	0	10
через	142468	-7.42	2	2	238	96	0	0	0	5
этом	138949	-4.65	6	9	226	27	0	0	0	4
века	138555	-5.31	18	21	1325	192	0	0	0	4
уже	137734	-5.62	2	5	590	3	0	0	0	3
затем	137322	-5.55	0	0	595	400	0	0	0	5
годах	133368	-6.28	6	7	586	184	0	0	0	5
декабря	130474	-9.82	4	4	891	214	0	0	0	7
один	129062	-5.28	0	1	1284	54	0	0	0	4
населения	128495	-7.45	0	0	875	464	0	0	0	9
января	127761	-9.21	4	4	105	6	0	0	0	6
the	127442	-4.38	2	5	25	9	0	0	0	3
часть	126720	-5.07	6	7	238	52	0	0	0	5
которых	126155	-7.95	6	6	1255	499	0	0	0	7
несколько	124842	-9.69	0	0	875	187	0	0	0	9
ещё	124816	-6.44	2	3	138	2	0	0	0	3
района	124179	-5.9	6	8	1004	437	0	0	0	6
находится	122917	-7.61	0	0	875	464	0	0	0	9
августа	122625	-8.03	4	5	672	94	0	0	0	7
части	121917	-5.29	8	9	238	52	0	0	0	5
составе	121884	-6.86	6	7	2142	503	0	0	0	7
я	121776	-4.3	0	5	105	105	105	105	105	1
октября	119927	-8.35	4	4	1284	90	0	0	0	7
км²	119685	-4.71	0	2	1255	6	0	0	0	3
июля	119676	-6.8	6	6	709	6	0	0	0	4
мая	119453	-3.66	16	19	929	237	0	0	0	3
сентября	119133	-9.06	0	0	2142	234	0	0	0	8
получил	118561	-5.89	8	11	2895	1019	0	0	0	7
название	118286	-6.79	0	0	875	464	0	0	0	8
среди	118031	-5.62	8	8	2142	54	0	0	0	5
группы	117764	-6.99	8	9	586	133	0	0	0	6
всего	117340	-5.41	0	1	1325	81	0	0	0	5
годы	117009	-5.19	16	17	586	184	0	0	0	4
е	116954	-4.3	0	22	138	138	138	138	138	1
город	116750	-5.94	4	7	586	184	0	0	0	5
место	116718	-5.71	8	11	929	194	0	0	0	5
территории	116201	-9.97	0	0	693	187	0	0	0	10
марта	115024	-5.23	14	15	929	237	0	0	0	5
июня	114944	-7.51	6	6	709	6	0	0	0	4
против	114798	-6.14	2	2	2895	1122	0	0	0	6
первый	114715	-5.87	8	8	2895	307	0	0	0	6
два	113876	-4.31	8	12	891	61	0	0	0	3
го	113472	-2.25	50	60	586	184	184	184	184	2
вместе	112604	-7.49	2	3	1325	7	0	0	0	6
апреля	111192	-7.46	4	4	672	18	0	0	0	6
площадь	110002	-8.24	2	3	2895	98	0	0	0	7
армии	109636	-6.15	6	6	672	124	0	0	0	5
которой	109556	-6.99	6	6	1255	499	0	0	0	7
второй	108388	-5.94	4	4	1325	16	0	0	0	6
чтобы	108073	-7.7	0	1	238	5	0	0	0	5
них	107205	-4.47	16	18	875	86	0	0	0	3
район	106957	-5.56	2	6	1004	437	0	0	0	5
мира	106840	-5.09	14	16	929	121	0	0	0	4
