word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	length
年	986197	-4.32	0	119	585	585	585	585	585	1
月	514741	-4.39	0	51	124	124	124	124	124	1
日	203917	-4.34	0	47	297	297	297	297	297	1
人	193628	-4.45	0	50	69	69	69	69	69	1
平方公里	126590	-5.48	6	11	39	10	0	0	0	4
在	85915	-4.38	0	68	145	145	145	145	145	1
the	50732	-4.38	8	15	306	54	0	0	0	3
zh	48047	-5.82	52	54	25	2	2	2	2	2
米	46925	-4.52	0	36	43	43	43	43	43	1
公里	46222	-3.86	90	104	74	15	15	15	15	2
於	43302	-4.8	0	56	14	14	14	14	14	1
总面积	37802	-5.36	0	3	26	3	0	0	0	3
人口密度	36917	-6.41	0	1	69	17	0	0	0	4
of	36619	-4.74	72	75	124	7	7	7	7	2
formula_	36167	-6.09	0	1	264	51	0	0	0	8
是下辖的一个乡镇级行政单位	35290	-19.42	0	0	459	1	0	0	0	13
a	35001	-4.33	0	60	413	413	413	413	413	1
总人口	34923	-5.41	14	18	26	4	0	0	0	3
至	34339	-4.8	0	36	14	14	14	14	14	1
人口	33212	-3.85	44	60	69	17	17	17	17	2
和	30958	-4.64	0	35	25	25	25	25	25	1
小行星	29312	-4.92	0	2	29	2	0	0	0	3
第	25891	-4.41	0	47	94	94	94	94	94	1
学名	23425	-6.29	96	97	12	1	1	1	1	2
s	23098	-4.32	0	47	536	536	536	536	536	1
年至	22992	-5.14	204	213	585	5	5	5	5	2
年时的人口为	18956	-7.64	0	1	585	4	0	0	0	6
该市镇总面积	18953	-9.08	0	0	24	8	0	0	0	6
c	18830	-4.32	0	52	540	540	540	540	540	1
等	18678	-4.67	0	15	22	22	22	22	22	1
and	18411	-3.91	22	30	413	52	0	0	0	3
面積	18019	-4.81	6	12	19	4	4	4	4	2
x	17241	-4.59	0	33	31	31	31	31	31	1
br	17202	-4.61	88	92	335	50	50	50	50	2
此外	16082	-5.73	28	31	19	3	3	3	3	2
hans	16059	-4.98	14	17	223	58	0	0	0	4
同年	16044	-4.01	116	129	65	17	17	17	17	2
m	16023	-4.33	0	52	423	423	423	423	423	1
公分	14966	-5.46	78	81	74	3	3	3	3	2
hd	14889	-5.55	78	83	223	1	1	1	1	2
女性	14860	-5.51	18	21	19	3	3	3	3	2
b	14798	-4.33	0	43	335	335	335	335	335	1
于	14691	-5.12	0	35	6	6	6	6	6	1
其中男性	14573	-6.59	0	2	68	26	0	0	0	4
n	14505	-4.36	0	41	176	176	176	176	176	1
年人口	14208	-4.59	14	20	585	10	0	0	0	3
到	13677	-5.0	0	22	8	8	8	8	8	1
分	13662	-4.38	0	30	138	138	138	138	138	1
e	13555	-4.34	0	48	252	252	252	252	252	1
其中	13497	-4.99	70	80	68	26	26	26	26	2
德语	13288	-6.15	36	37	21	1	1	1	1	2
hk	13249	-5.08	68	72	223	2	2	2	2	2
前	13212	-4.78	0	22	15	15	15	15	15	1
in	13072	-3.35	70	95	183	75	75	75	75	2
另外	13000	-5.52	20	25	16	6	6	6	6	2
公尺	12426	-4.49	58	63	74	9	9	9	9	2
時	12238	-4.64	0	29	25	25	25	25	25	1
d	12183	-4.34	0	45	310	310	310	310	310	1
然而	11994	-5.94	8	11	10	3	3	3	3	2
年代	11967	-4.55	176	194	585	41	41	41	41	2
及	11828	-4.85	0	19	12	12	12	12	12	1
是	11733	-4.32	0	41	459	459	459	459	459	1
名	11679	-4.49	0	55	51	51	51	51	51	1
體長可達	11647	-8.39	0	0	11	3	0	0	0	4
例如	11577	-6.3	16	19	6	2	2	2	2	2
t	11204	-4.34	0	45	306	306	306	306	306	1
自	11187	-4.61	0	25	28	28	28	28	28	1
英文	11142	-5.24	78	82	40	7	7	7	7	2
米的地区	11100	-7.72	2	2	43	3	0	0	0	4
日至	11027	-5.8	128	131	297	1	1	1	1	2
中	11010	-4.38	0	49	143	143	143	143	143	1
生长于海拔	10984	-9.8	0	0	29	1	0	0	0	5
f	10891	-4.34	0	43	264	264	264	264	264	1
de	10868	-3.14	98	116	310	84	84	84	84	2
to	10744	-3.81	86	96	306	39	39	39	39	2
i	10715	-4.36	0	41	183	183	183	183	183	1
或	10668	-4.74	0	10	17	17	17	17	17	1
有	10614	-4.5	0	68	49	49	49	49	49	1
h	10398	-4.35	0	39	223	223	223	223	223	1
p	10202	-4.33	0	46	405	405	405	405	405	1
g	10135	-4.35	0	43	233	233	233	233	233	1
因此	9891	-5.0	42	49	22	9	9	9	9	2
目前尚未由人工引种栽培	9834	-16.73	0	0	18	14	0	0	0	11
r	9760	-4.34	0	47	295	295	295	295	295	1
k	9592	-4.39	0	36	127	127	127	127	127	1
海拔高度	9489	-6.53	0	1	34	9	0	0	0	4
tw	9417	-5.02	64	67	306	9	9	9	9	2
直到	9052	-4.71	50	56	30	6	6	6	6	2
米至	8955	-5.99	98	100	43	1	1	1	1	2
以	8856	-4.49	0	39	52	52	52	52	52	1
的	8840	-4.35	0	23	233	233	233	233	233	1
世纪	8315	-4.22	6	18	59	26	26	26	26	2
西班牙语	8228	-7.07	6	7	45	5	0	0	0	4
号	8210	-4.59	0	18	30	30	30	30	30	1
视星等为	8176	-9.35	0	0	2	1	0	0	0	4
hr	8069	-5.73	84	88	223	1	1	1	1	2
l	8056	-4.34	0	42	265	265	265	265	265	1
http	8041	-7.54	0	1	223	6	0	0	0	4
毫米	8005	-5.61	38	40	11	6	6	6	6	2
赤緯	7947	-6.39	8	9	4	2	2	2	2	2
sao	7942	-5.31	36	39	536	60	0	0	0	3
銀緯	7892	-6.59	10	11	6	1	1	1	1	2
位于銀經	7887	-8.37	0	0	42	4	0	0	0	4
坐标为赤經	7886	-10.48	0	0	3	2	0	0	0	5
其b	7882	-5.92	80	82	68	1	1	1	1	2
从	7833	-5.0	0	9	8	8	8	8	8	1
而	7743	-4.51	0	24	46	46	46	46	46	1
v	7713	-4.39	0	29	119	119	119	119	119	1
與	7543	-5.06	0	8	7	7	7	7	7	1
枚	7252	-5.12	0	0	6	6	6	6	6	1
如	7221	-4.71	0	15	19	19	19	19	19	1
istat代码为	7212	-12.3	0	0	183	21	0	0	0	8
但是	7200	-5.29	74	79	41	6	6	6	6	2
號	7174	-4.63	0	22	26	26	26	26	26	1
位	7173	-4.53	0	16	42	42	42	42	42	1
歲	7069	-4.76	0	5	16	16	16	16	16	1
並於	7054	-5.72	130	136	40	2	2	2	2	2
年到	6892	-5.34	182	189	585	3	3	3	3	2
for	6819	-3.67	14	21	264	51	0	0	0	3
生平	6806	-6.07	34	36	29	1	1	1	1	2
万	6771	-4.49	0	27	53	53	53	53	53	1
hant	6730	-4.85	14	16	223	58	0	0	0	4
j	6724	-4.38	0	22	138	138	138	138	138	1
这颗小行星的绝对星等为	6718	-18.09	0	0	28	1	0	0	0	11
是一颗围绕太阳公转的小行星	6718	-17.02	0	0	459	40	0	0	0	13
厘米	6703	-5.75	30	34	6	4	4	4	4	2
他在	6577	-5.25	126	136	45	3	3	3	3	2
根据	6399	-5.38	6	9	13	5	5	5	5	2
o	6375	-4.39	0	37	124	124	124	124	124	1
年的	6240	-4.2	174	186	585	28	28	28	28	2
平方千米	6218	-7.21	0	2	39	10	0	0	0	4
次	6208	-4.76	0	14	16	16	16	16	16	1
月至	6132	-5.45	126	130	124	3	3	3	3	2
个	6118	-4.41	0	27	99	99	99	99	99	1
包括	6045	-4.31	2	8	22	16	16	16	16	2
年起	5991	-5.5	156	160	585	2	2	2	2	2
女	5805	-4.71	0	9	19	19	19	19	19	1
比	5804	-4.61	0	15	28	28	28	28	28	1
元	5783	-4.68	0	33	21	21	21	21	21	1
岁	5779	-4.73	0	4	18	18	18	18	18	1
集	5777	-4.73	0	14	18	18	18	18	18	1
天	5776	-4.51	0	27	47	47	47	47	47	1
com	5742	-3.67	30	35	540	156	0	0	0	3
清朝政治人物	5740	-6.89	6	7	28	11	0	0	0	6
on	5730	-3.8	64	81	124	8	8	8	8	2
葡萄牙语	5725	-7.6	4	5	7	6	0	0	0	4
由	5686	-4.46	0	14	63	63	63	63	63	1
万人	5585	-4.86	110	118	53	5	5	5	5	2
民国	5425	-4.81	44	46	39	14	14	14	14	2
km	5401	-5.57	88	94	127	2	2	2	2	2
以及	5373	-4.8	46	54	52	5	5	5	5	2
即	5354	-4.76	0	11	16	16	16	16	16	1
u	5310	-4.43	0	44	79	79	79	79	79	1
平方米	5293	-5.08	6	13	39	10	0	0	0	3
是一颗恒星	5264	-5.05	0	0	459	40	0	0	0	5
成立於	5213	-5.98	10	11	33	4	0	0	0	3
www	5186	-7.05	4	4	187	2	0	0	0	3
ngc	5166	-6.89	10	14	176	4	0	0	0	3
共	5108	-4.73	0	15	18	18	18	18	18	1
中华人民共和国政治人物	5086	-9.37	0	0	143	20	0	0	0	11
又名bd	5078	-7.96	2	2	26	4	0	0	0	4
為	5033	-4.45	0	41	69	69	69	69	69	1
w	5023	-4.36	0	20	187	187	187	187	187	1
center	4920	-6.5	0	0	540	18	0	0	0	6
不過	4884	-5.54	32	34	44	3	3	3	3	2
面积	4883	-4.5	8	13	19	6	6	6	6	2
萬	4869	-4.49	0	24	51	51	51	51	51	1
la	4792	-3.7	100	115	265	61	61	61	61	2
從	4788	-5.0	0	9	8	8	8	8	8	1
年和	4728	-5.78	178	181	585	1	1	1	1	2
colspan	4706	-9.19	0	0	540	156	0	0	0	7
直至	4705	-4.97	72	77	30	5	5	5	5	2
saint	4699	-6.11	2	5	536	60	0	0	0	5
y	4692	-4.52	0	15	44	44	44	44	44	1
style	4679	-7.01	0	0	536	86	0	0	0	5
截至	4636	-6.3	62	64	5	2	2	2	2	2
岁人口	4579	-6.24	14	16	18	2	0	0	0	3
该市镇年时的人口为人	4573	-13.74	0	0	24	8	0	0	0	10
is	4570	-3.71	78	90	183	21	21	21	21	2
女性为	4570	-6.42	2	4	19	3	0	0	0	3
年总人口	4533	-7.18	0	2	585	1	0	0	0	4
识字率	4514	-8.71	0	0	1	1	0	0	0	3
其中男	4512	-6.01	14	16	68	26	0	0	0	3
其中男性为	4503	-7.9	0	1	68	26	0	0	0	5
该地	4502	-6.11	32	34	24	1	1	1	1	2
cn	4471	-5.39	92	98	540	3	3	3	3	2
建于	4440	-5.28	88	97	33	1	1	1	1	2
秒	4405	-5.32	0	6	4	4	4	4	4	1
种	4399	-5.12	0	7	6	6	6	6	6	1
id	4368	-4.05	74	87	183	10	10	10	10	2
ua	4321	-5.61	92	96	79	1	1	1	1	2
並在	4312	-5.72	126	130	40	2	2	2	2	2
公元	4311	-4.99	96	102	74	2	2	2	2	2
background	4286	-12.43	0	0	335	64	0	0	0	10
生活習性不明	4278	-10.97	0	0	29	4	0	0	0	6
是一颗绕太阳运转的小行星	4268	-15.52	0	0	459	40	0	0	0	12
學名	4261	-6.29	102	103	12	1	1	1	1	2
离心率为	4260	-8.64	0	0	7	1	0	0	0	4
该小行星于	4260	-9.85	0	0	24	1	0	0	0	5
时	4257	-4.83	0	20	13	13	13	13	13	1
的轨道半长轴为	4251	-13.21	0	0	233	1	0	0	0	7
为主小行星带小行星	4202	-11.93	0	0	82	3	0	0	0	9
約	4184	-4.73	0	24	18	18	18	18	18	1
共有	4158	-5.08	122	130	18	2	2	2	2	2
到了	4147	-5.71	14	19	8	1	1	1	1	2
同时	4129	-5.64	48	50	65	1	1	1	1	2
color	4119	-5.81	0	2	540	156	0	0	0	5
align	4115	-6.95	2	2	413	52	0	0	0	5
卷	4096	-5.12	0	12	6	6	6	6	6	1
屬肉食性	4026	-8.01	4	6	20	1	0	0	0	4
小行星列表	3994	-8.58	0	0	29	2	0	0	0	5
日发现	3973	-6.04	10	11	297	6	0	0	0	3
亿元	3963	-5.62	46	53	18	2	2	2	2	2
text	3957	-6.26	4	7	306	50	0	0	0	4
silver	3903	-7.98	0	0	536	52	0	0	0	6
en	3892	-3.59	80	96	252	31	31	31	31	2
年人口普查	3880	-6.75	0	1	585	10	0	0	0	5
昭和	3879	-7.23	34	35	1	1	1	1	1	2
線	3869	-5.0	0	14	8	8	8	8	8	1
倍	3861	-5.21	0	1	5	5	5	5	5	1
度	3852	-5.0	0	13	8	8	8	8	8	1
英語	3848	-5.72	54	56	40	2	2	2	2	2
編輯	3804	-6.01	16	19	13	1	1	1	1	2
球	3708	-4.85	0	19	12	12	12	12	12	1
千米	3670	-5.44	48	51	19	2	2	2	2	2
座	3643	-4.96	0	6	9	9	9	9	9	1
享年	3642	-6.67	98	99	4	1	1	1	1	2
john	3640	-6.08	4	7	138	38	0	0	0	4
county	3630	-7.19	0	2	540	156	0	0	0	6
年美国人口普查	3628	-9.59	0	1	585	5	0	0	0	7
但	3606	-4.53	0	13	41	41	41	41	41	1
with	3603	-5.84	2	4	187	44	0	0	0	4
日本	3547	-3.9	84	94	297	29	29	29	29	2
并于	3543	-5.82	86	88	25	2	2	2	2	2
德	3533	-4.68	0	25	21	21	21	21	21	1
民國	3481	-4.38	34	39	39	11	11	11	11	2
個	3471	-4.46	0	17	65	65	65	65	65	1
根據	3466	-5.3	4	7	13	6	6	6	6	2
公布时间为	3445	-9.43	0	0	74	3	0	0	0	5
香港	3433	-4.24	8	15	30	25	25	25	25	2
長	3425	-4.74	0	24	17	17	17	17	17	1
小时	3423	-5.34	48	52	29	2	2	2	2	2
le	3422	-3.16	92	105	265	48	48	48	48	2
windows	3402	-8.55	0	3	187	44	0	0	0	7
汉族	3398	-6.29	42	44	13	1	1	1	1	2
z	3370	-4.64	0	15	25	25	25	25	25	1
分鐘	3354	-5.22	38	40	138	5	5	5	5	2
公元前	3351	-5.54	2	6	74	2	0	0	0	3
此后	3337	-5.73	50	53	19	3	3	3	3	2
之後	3334	-4.6	88	94	38	4	4	4	4	2
進士出身	3320	-7.42	2	4	6	2	0	0	0	4
日起	3313	-5.04	80	83	297	7	7	7	7	2
美元	3308	-5.16	56	63	33	1	1	1	1	2
但在	3290	-5.71	124	128	41	2	2	2	2	2
by	3276	-4.61	58	64	335	3	3	3	3	2
you	3241	-5.96	6	10	44	8	0	0	0	3
世紀	3192	-4.52	6	19	59	25	25	25	25	2
另一方面	3178	-6.56	0	4	16	4	0	0	0	4
目前	3147	-5.24	32	36	18	14	14	14	14	2
与	3139	-5.21	0	5	5	5	5	5	5	1
年底	3136	-4.78	146	152	585	3	3	3	3	2
是西班牙卡斯蒂利亚	3135	-11.26	0	0	459	34	0	0	0	9
new	3131	-5.15	12	14	176	32	0	0	0	3
it	3122	-4.15	78	91	183	11	11	11	11	2
公斤	3117	-5.2	56	61	74	6	6	6	6	2
该市有人口	3108	-7.56	0	0	24	8	0	0	0	5
as	3051	-3.71	104	130	413	25	25	25	25	2
同時	3050	-4.92	54	58	65	4	4	4	4	2
同年五月	3043	-6.67	10	13	65	17	0	0	0	4
人口密度每平方公里	3035	-10.99	0	0	69	17	0	0	0	9
威廉	3032	-5.09	6	11	16	4	4	4	4	2
world	3032	-7.05	2	4	187	28	0	0	0	5
共有人口	3022	-7.23	0	1	18	2	0	0	0	4
年初	3016	-5.21	152	157	585	2	2	2	2	2
匈牙利语	3013	-8.09	2	3	3	3	0	0	0	4
school	3012	-8.23	0	1	536	26	0	0	0	6
平假名	3006	-7.04	2	3	39	1	0	0	0	3
平方英里	3005	-6.57	6	6	39	10	0	0	0	4
love	2935	-5.29	6	8	265	48	0	0	0	4
寬	2902	-5.32	0	3	4	4	4	4	4	1
型	2889	-4.71	0	14	19	19	19	19	19	1
次年	2846	-5.96	98	100	16	1	1	1	1	2
始建於	2831	-7.09	8	10	5	2	0	0	0	3
億	2827	-4.71	0	4	19	19	19	19	19	1
ii	2826	-4.6	80	84	183	2	2	2	2	2
英语	2810	-6.02	56	57	40	1	1	1	1	2
面积约为	2810	-6.8	0	3	19	6	0	0	0	4
台灣	2792	-4.69	26	31	43	19	19	19	19	2
at	2772	-4.07	104	129	413	20	20	20	20	2
为	2761	-4.43	0	30	82	82	82	82	82	1
university	2733	-10.5	0	0	79	31	0	0	0	10
著有	2729	-5.92	114	118	17	1	1	1	1	2
所以	2716	-5.47	78	82	35	4	4	4	4	2
为中国的特有植物	2703	-11.25	0	0	82	1	0	0	0	8
是中国的特有植物	2679	-10.19	0	0	459	8	0	0	0	8
簡稱	2665	-5.42	64	69	9	3	3	3	3	2
全长	2664	-5.08	80	83	40	2	2	2	2	2
one	2657	-5.23	8	17	124	8	0	0	0	3
sur	2647	-4.64	24	27	536	37	0	0	0	3
棲息深度	2643	-6.4	0	1	22	22	0	0	0	4
不久	2641	-4.73	26	31	44	8	8	8	8	2
was	2605	-5.0	30	36	187	47	0	0	0	3
年間	2593	-5.5	160	166	585	2	2	2	2	2
路	2590	-4.74	0	12	17	17	17	17	17	1
mm	2572	-5.53	102	106	423	4	4	4	4	2
而在	2559	-5.53	140	146	46	1	1	1	1	2
除此之外	2544	-8.62	2	2	11	3	0	0	0	4
后来	2515	-6.14	14	17	9	2	2	2	2	2
年成立	2498	-5.59	16	18	585	3	0	0	0	3
my	2483	-4.13	68	72	423	6	6	6	6	2
no	2483	-3.99	86	95	176	37	37	37	37	2
播出	2480	-5.79	30	37	4	1	1	1	1	2
高	2470	-4.6	0	24	29	29	29	29	29	1
that	2466	-6.51	8	9	306	54	0	0	0	4
约翰	2459	-5.2	14	19	18	4	4	4	4	2
可以指	2458	-5.76	8	12	50	12	0	0	0	3
